,Rk,Pos,Player,Tm,Votes,Share,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Sk,Int.1,Year,Vote Pts,1st Place
0,1,QB,Kurt Warner,St. Louis Rams,21.5,43%,16,16,375,546,4830,36,22,28,60,0,0,0,0,0.0,0.0,0,2001,,
1,2,RB,Marshall Faulk,St. Louis Rams,17.5,35%,14,14,0,1,0,0,0,260,1382,12,83,765,9,0.0,0.0,0,2001,,
2,3,QB,Brett Favre,Green Bay Packers,5.0,10%,16,16,314,510,3921,32,15,38,56,1,0,0,0,,0.0,0,2001,,
3,4,QB,Kordell Stewart,Pittsburgh Steelers,4.0,8%,16,16,266,442,3109,14,11,96,537,5,0,0,0,0.0,0.0,0,2001,,
4,5,MLB,Brian Urlacher,Chicago Bears,2.0,4%,16,16,0,0,0,0,0,0,0,0,1,27,1,91.0,6.0,3,2001,,
0,1,QB,Rich Gannon,Oakland Raiders,19.0,39.6%,16,16,418,618,4689,26,10,50,156,3,0,0,0,0.0,0.0,0,2002,,
1,2,QB,Brett Favre,Green Bay Packers,15.0,31.3%,16,16,341,551,3658,27,16,25,73,0,0,0,0,0.0,0.0,0,2002,,
2,3,QB,Steve McNair,Tennessee Titans,11.0,22.9%,16,16,301,492,3387,22,15,82,440,3,0,0,0,0.0,0.0,0,2002,,
3,4,RLB,Derrick Brooks,Tampa Bay Buccaneers,1.0,2.1%,16,16,0,0,0,0,0,0,0,0,0,0,0,88.0,1.0,5,2002,,
4,5,RB,Priest Holmes,Kansas City Chiefs,1.0,2.1%,14,14,0,1,0,0,0,313,1615,21,70,672,3,,0.0,0,2002,,
5,6,QB,Michael Vick,Atlanta Falcons,1.0,2.1%,15,15,231,421,2936,16,8,113,777,8,0,16,0,0.0,0.0,0,2002,,
0,1,QB,Peyton Manning,Indianapolis Colts,16.0,32%,16,16,379,566,4267,29,10,28,26,0,1,-2,0,0.0,0.0,0,2003,,
1,2,QB,Steve McNair,Tennessee Titans,16.0,32%,14,14,250,400,3215,24,7,38,138,4,1,4,0,0.0,0.0,0,2003,,
2,3,QB,Tom Brady,New England Patriots,8.0,16%,16,16,317,527,3620,23,12,42,63,1,0,0,0,0.0,0.0,0,2003,,
